company_name_invoice,company_name_registery,ID_TVA,parent_company
BRILL_SA,société_du_parking_brill,LU22991326,0
Parking_Brill_SA,société_du_parking_brill,LU22991326,0
Parking_Brill,société_du_parking_brill,LU22991326,0
parking_du_Brill,société_du_parking_brill,LU22991326,0
spb,société_du_parking_brill,LU22991326,0
SPB_SA,société_du_parking_brill,LU22991326,0

parking_du_theatre,SPT,LU12067277,0
parking_theatre,SPT,LU12067277,0
place_du_theatre,SPT,LU12067277,0
theatre,SPT,LU12067277,0
SPT_SA,SPT,LU12067277,0

parking d'esch,societe du parking d'Esch-sur-Alzette,LU20558988,0
SPESA,societe du parking d'Esch-sur-Alzette,LU20558988,0
parking_hotel_de_ville_esch_alzette,societe du parking d'Esch-sur-Alzette,LU20558988,0
Parking_Hotel_de_Ville,societe du parking d'Esch-sur-Alzette,LU20558988,0
PARKHAUS HOTEL DE VILLE,societe du parking d'Esch-sur-Alzette,LU20558988,0
esch_hotel_de_ville,societe du parking d'Esch-sur-Alzette,LU20558988,0
hotel_de_ville,societe du parking d'Esch-sur-Alzette,LU20558988,0

SPPO,SPPO,LU19231373,0
parking_de_la_piscine_olympique,SPPO,LU19231373,0
parking_la_coque2,SPPO,LU19231373,0
parking_coque_2,SPPO,LU19231373,0
parking_piscine,SPPO,LU19231373,0

parking_du_theatre,SPT,LU12067277,0
parking_theatre,SPT,LU12067277,0
place_du_theatre,SPT,LU12067277,0
theatre,SPT,LU12067277,0
SPT_SA,SPT,LU12067277,0

LITHOPARK,lithopark,LU11205504,0

parking_residence_opus,lithopark,LU11205504,0
PFAFFENTHAL,LIFT,LU10403280,SPG
ALBERT PHILLIPE,ALBERT_PHILLIPE,LU10403280,SPG
parking_howald,p+rwowald,LU10403280,SPG
P+RHowald,p+rwowald,LU10403280,SPG
AM DUERF,AM DUERF,LU10403280,SPG
BEI DER EIL,BEI_DER_EIL,LU10403280,SPG
PARKING_BOUILLON,BOUILLON,LU10403280,SPG
ECOLE_DE_MUSIQUE,ECOLE_DE_MUSIQUE,LU10403280,SPG
FORT_WEDEL,Fort_Wedell,LU10403280,SPG
HEINE,HEINE,LU10403280,SPG
MARTYRS,MARTYRS,LU10403280,SPG
TRIOLOGIE,TRIOLOGIE,LU10403280,SPG
Knuedler,Knuedler,LU10403280,SPG
LOCAL_TECHNIQUE_ASCENSEUR_VERS_VILLE_HAUTE,LIFT,LU10403280,SPG
LIFT,LIFT,LU10403280,SPG
parking_guillaume_sa,Knuedler,LU10403280,SPG
Triologie,Triologie,LU10403280,SPG
parking_monterey,SPAM,LU16825646,0
parking de l'avenue monterey,SPAM,LU16825646,0
MONTEREY_S.A.,SPAM,LU16825646,0
spam,SPAM,LU16825646,0
