supplier_invoice;supplier_registery;TVA
agimex;agimex;LU30148542
arthur_welter_transport;arthur_welter_transport;LU16468636
atelier_de_reliure;atelier_de_reliure;LU32492171
BMW_dealer;BMW_dealer;LU21427047
BSL-Ticket;BSL_ticket;*********
berner;berner;LU13387923
beil_Sa_rl;beil_Sa_rl;LU16644515
3c_payment;3c_payment;LU28264772
LS_avocat_a_la_cour;LS_avocat_a_la_cour;LU23014984
bilia;bilia;LU21427047
bouvy;bouvy;LU18342585
brinks;brinks;LU10627004
centre_medical;centre_medical;LU431111081932640000
carglass;carglass;LU17857642
compagnie_medocaine;compagnie_medocaine;TVAFR53309787588
medocaine;compagnie_medocaine;TVAFR53309787588
chaud_froid;chaud_froid;LU15855445
creativ_metal;creativ_metal;LU13779523
carrosserie_palanca;carrosserie_palanca;+++++++
circle;circle_K;LU10980669
circlek;circle_k;10980669
circle_K;circle_K;LU10980669
CTTL;CTTL;LU14433263
cbc;cbc;LU22184052
cfticket;cfticket;DE275575097
schutz-ries;schutz-ries;TVA20112213415
clean_center;clean_center;tva20152212314
climalux;climalux;LU19097974
club_de_football;club_de_football;+++++++++
comptoir_des_fers_et_metaux;comptoir_des_fers_et_metaux;LU18879516
depannage_pere_fils;depannage_pere_fils;LU32121009
chamber_of_commerce_luxembourg;chamber_of_commerce_luxembourg;************
creos;creos;LU10320554
DMC;DMC;LU16356269
douane_accises_grand_duche;douane_accises_grand_duche;caisse.centrale@do.etat.lu
douane;douane_accises_grand_duche;caisse.centrale@do.etat.lu
eltrona;eltrona;LU28180834
ebg_service;ebg_service;19942411645
eco-shine-cleaning;eco-shine-cleaning;LU25802413
electric_cars;electric_cars;35505069146
elco;elco;LU20075964
etude_avocats;etude_avocats;LU32627602
ginge;ginge_kerr;LU15968418
goblet_lavandier;goblet_lavandier;++++++++
leoenergie;leoenergie;LU19597485
enovos;enovos;LU23238809
FCD03;FCD03;++++++++++
fleurs_klopp;fleur_kloop;**********
francis;Francis;LU890019110622939000
footgolf;footgolf;LU630099780001390038
foyer_assurances;foyer_assurances;LU14673765
foyer;foyer_assurances;LU14673765
gt-auto;CT-AUTO;FR88265517382
garage_reiserbann;garage_reseirbann;LU32255115
Gilbert;Gilbert;LU18554771
grun_signalisation;grun_signalisation;19922405320
grun;grun_signalisation;15315171
hotel_simoncini;hotel_simoncini;LU17109638
hotel_standinn;hotel_standinn;LU18856361
Hurasys;Hurasys;LU32477211
HR communication;HR communication;LU26769572
kholer_constructions;kholer_constructions;************
knopp;knopp;DE250054259
ibgraf;ibgraf;LU14208743
ib_group;ib_group;LU35272316
ib_protection;ib_group;LU35272316
imprimerie_centrale;imprimerie_centrale;LU20469685
jamendo;jamendo;LU22234927
jeunesse_esch;jeunesse_esch;LU540019500006374000
kone;kone;LU19882405675
lavaux;lavaux;LU22257070
lefevre;lefevre;LU19973115
linster;linster;info@libus.lu
liminaris;liminaris;*********
Loxam;Loxam;LU19812006
luxcontrol;luxcontrol;LU12331853
Luxembourg_online;Luxembourg_online;LU16788935
Maestria;Maestria_lux;LU29178139
maxgas;maxgas;********
marc_decker;marc_decker;LU23004064
mettler;mettler;LU25803928
mojovida;mojovida;07808508352
muller_wegener;muller_wegener;LU10720347
muller&fils;muller_fils;LU13703968
muller_associes;muller_associes;LU16693358
nilfisk;nilfisk;**********
nespresso;nespresso;LU214435442
ogc;ogc;LU25176775
olinn;olinn;LU10467309
otis;otis;LU13388226
ouschtercup;ouschtercup;LU320026185595897600
prevention_incendie;PILSA;20142209048
pantoon;pantoon;www.pantoon.be
amicale_des_pompiers;amicale_des_pompiers;amical@cisma.lu
payconigq_international;payconigq_international;LU10003600
post_luxembourg;post_courrier;LU15400030
post_telecom;post_telecom;LU15558109
reka;reka;LU18024520
reebou_city;reebou_city_sports;LU26754107
reiserbann;reiserbann;LU32255115
reckinger;reckinger;LU16970874
reinert;reinert;LU17542506
reiserbann;reiserbann;LU32255115
rentokil_initial;rentokil_initial;LU16255541
rsm;RSM_AUDIT;LU20991957
rsm_audit;RSM_AUDIT;LU20991957
snot;snot;LU25180625
scapa;scapa;FR23537871535
schaller;schaller;LU18405806
scheidt&bachmann;scheidt_bachmann;LU30172414
schindler;schindler;LU11059658
